pelicula,genero,duracion,fecha_estreno,reparto_principal,calificacion,fecha_resena,contenido_resena,sentimiento
2. El padrino,N/A,Tiempo de ejecución,1972,"Marlon Brando, Al Pacino, James Caan",10,31 mar 2019,"It is now past 1 PM and I just finished watching Francis Ford Coppola's ""The Godfather"". I should probably go to bed. It's late and tomorrow I have to wake up a bit early. But not early enough to postpone writing these lines. Now that I have seen it three times, the opportunity of sharing my thoughts and refreshed insights are too much of a good offer to sit on. So, bear with me.

This film works so well because it takes place in an underworld in which we are so embedded that we do not even observe it. Coppola puts us straight in the smack-dab center of what is, admittedly, a society made by criminals for criminals. It is also the reason why it's so welcoming. We are surrounded by its inhabitants--cold-blooded murderers, men who see crime like a 9 to 5 job masquerading as honorable men. And I do mean men. From the outside, we would only witness the horrifying, disturbing manifestations of their well-thought out actions.

But it goes even deeper than that. It all revolves around the Corleone family led by Don Vito Corleone (Marlon Brando). He is the most honest of these men, sitting right on the edge. But for people like him, who do not fully embrace this world, it's not easy. He avoids conflict until it is absolutely necessary. He is a man defined by moral principles. There is a scene at the beginning, in which, during his daughter's wedding day, one of his associates, Luca Brasi (Lenny Montana) practices his speech that he is going to give to the Don when he meets him. The scene with these two is funny and almost adorable. I could not help but sympathize both of them only to realize that I am feeling warmth for two mobsters. Not to even mention that Lenny Montana was an actual mob hit-man and that he was actually nervous as he said that line.

The more I watched the more I realized just how incredibly complex and ruthless this society is and how it has the power to corrupt anyone to come in contact with it. The best example is Corleone's youngest son, Michael (Al Pacino). He returns home for his sister's wedding as a war hero dressed the part with his long-time girlfriend, Kay Adams (Diane Keaton). At first, he avoids this underworld, but necessity, first-hand exposure and just its sheer devilish appealing nature draws him in. As we get further in the film, the change is shocking and every outsider who ever got close to him is tainted in one way or another. If they survive it, they are drawn in as well as we are as viewers.

Inside, Coppola exposes the family to us fully, with a bold personal approach and we witness every discussion, every methodically calculated choice. Crime is done simply because it is the nature of their business, and we are put on a chair alongside them, so we easily relate. For us, they are the good guys, the rival families are the bad guys. This is the greatest feat this film managed to pull off--set apart good guys and bad guys in a world filled with bad guys.

This is a film of unmatched subtlety. No other movie sustains itself as good. No other film is done with such precision, attention and completeness. There are many layers which I probably missed and maybe will never notice. But I felt them. What director Francis Ford Coppola and his partner in crime (poor choice of words, sorry) Mario Puzo did is nothing short of a timeless piece of reference cinema whose influence is not based on reinventing the wheel, but rather perfecting it to the absolute maximum.

Most masterpieces are remembered for their historical contributions. ""Citizen Kane"" brought the biggest step-up to the art form, the same things did ""Gone With the Wind"" or ""2001: A Space Odyssey"". ""The Godfather"" is one of the few films that will be remembered simply because they are that good and I cannot possibly imagine a greater achievement.",0.06425736961451248
2. El padrino,N/A,Tiempo de ejecución,1972,"Marlon Brando, Al Pacino, James Caan",10,5 feb 2021,"A masterclass in film making, is The Godfather a contender for the best film of all time? I'd argue the case that it is, this is the ultimate gangster movie.

Before you panic at the thought of a film being almost three hours long, you needn't, you won't even notice the time, it flies by.

Production values are incredible, it looks sublime the whole way through, it's so well produced, at roughly fifty years old it puts many new films to shame.

Brandon, Pacino and Castellano, just a few of the Incredible performances, I could add a whole lot more.

If you're considering buying a hard copy, I would recommend it on blu ray, it is sharper than the dvd, there is a difference.

This film has had a huge influence down the years, it is still, and will forever be, one of the greatest, 10/10.",0.296420083184789
2. El padrino,N/A,Tiempo de ejecución,1972,"Marlon Brando, Al Pacino, James Caan",10,10 feb 2018,"This isn't just a beautifully crafted gangster film. Or an outstanding family portrait, for that matter. An amazing period piece. A character study. A lesson in filmmaking and an inspiration to generations of actors, directors, screenwriters and producers. For me, this is more: this is the definitive film. 10 stars out of 10.

Favorite films: IMDb.com/list/mkjOKvqlSBs/

Lesser-Known Masterpieces: imdb.com/list/ls070242495/",0.5900000000000001
2. El padrino,N/A,Tiempo de ejecución,1972,"Marlon Brando, Al Pacino, James Caan",N/A,19 jun 2014,N/A,0.0
2. El padrino,N/A,Tiempo de ejecución,1972,"Marlon Brando, Al Pacino, James Caan",10,21 ene 2020,"The acting was simply amazing, what else could you say. What could be more appealing to people(even today) than watching actors like Al Pacino, Marlon Brando, James Caan, Diane Keaton, Talia Shire and Robert Duvall. This is like heaven for someone who is a fan of movies. With this movie Brando was able to bring himself back into the limelight. His performance as the godfather alone is iconic. His character has been recreated so much in films that it has almost if it has not already become a cliché. His performance though was not a cliché. His performance was subtle and breathtaking. It was so genuine and realistic that it was not just probably but definitely more genuine than Marlon Brando himself. Al Pacino was perfect for this film as well. What a way to start up your career. His character was all about depth and he displayed it perfectly. He was able to display his own inner-battles in his mind as well as the battles he had with his family, friends and enemies. His character was more of a psychological character study than anything else to me. Robert Duvall to me was the glue to the movie. He added a different perspective to everything in just that he was not Italian yet having the respect of the mafia. His character is a man of high authority within the Corleone family who was listened to and insightful;. This was simply perfect giving the film great balance throughout. The rest of the cast was just icing on the cake.

The writing was phenomenal and breathtaking. As mentioned before there has been no movie quoted more than this. It is not even the quotes though that makes the writing in here so perfect. It is the symbolism and meaning that went into every scene. There are countless symbols, messages and lines in here that are so memorable yet it is as realistic as a movie could get.",0.4425
2. El padrino,N/A,Tiempo de ejecución,1972,"Marlon Brando, Al Pacino, James Caan",10,4 mar 2002,N/A,0.0
2. El padrino,N/A,Tiempo de ejecución,1972,"Marlon Brando, Al Pacino, James Caan",10,29 sep 2005,N/A,0.0
2. El padrino,N/A,Tiempo de ejecución,1972,"Marlon Brando, Al Pacino, James Caan",10,20 jun 2008,N/A,0.0
2. El padrino,N/A,Tiempo de ejecución,1972,"Marlon Brando, Al Pacino, James Caan",10,31 mar 2014,"THE GODFATHER is quite simply a masterful piece of film-making, an epic in the truest sense of the word and by far the finest gangster film ever shot. Made with finesse, style to spare and a director who elicits pitch-perfect performances from a talented cast, this is movie-making as it should be.

Yes, it's a very long film and yes, some sections are quite slow. Nevertheless, none of the film is any less than riveting. The story - of a father/son takeover in one of New York's major Italian Mafia families - is fairly straight forward, and yet Francis Ford Coppola turns it into something else so much more; a meditation on the human condition, perhaps.

Certainly this is a film that explores the darker side of humanity. Jealousy, betrayal, anger and revenge are all key themes here, and the film is inevitably punctuated by moments of graphic and shocking violence. And I'm glad Coppola chooses not to shy away from the said violence, which makes it all the more gritty and realistic when it does happen.

Marlon Brando takes the showrunner role here, the patriarch who's past his prime, but it's easy to spot the real star of the piece: Al Pacino, who burns up the screen with sheer ferocity. Robert Duvall is easy to miss in a quieter part, but watch out for James Caan whose volatile Sonny is one of the film's most engaging characters. Altogether this is a splendid and unforgettable piece of film-making, which inevitably spawned sequels and a whole gamut of similar gangster fare, but THE GODFATHER towers head and shoulders above them all.",0.14468814080656187
2. El padrino,N/A,Tiempo de ejecución,1972,"Marlon Brando, Al Pacino, James Caan",10,17 jul 2010,"There is very little that I can add to the reviews on here, that have explained what is so wonderful about The Godfather so well. I have seen many amazing movies, as well as some clunkers, but The Godfather was beyond amazing. There are so many images, details and scenes that I seriously cannot get out of my head since watching it for the first time just nine hours ago. The Godfather is so incredibly well-made and acted that it stands out among the rest of those other amazing films I've seen, so much so I couldn't think of a single flaw, and I am struggling to think of a good enough reason to why I didn't see this film before now.

True, The Godfather is a little slow-moving and the plot takes a while to unfold, but neither of these are flaws as such. The slow pacing added to the elegiac quality The Godfather has, and as for the plot what is special about this plot is that it is very unpredictable because you have next to no idea where it is next going to take you. Being 18, I was worried whether I was old enough to appreciate this film or even understand it, but luckily I understood it perfectly, and I can well and truly appreciate it for the masterpiece it is considered to be.

The Godfather for one thing looks stunning. I strongly disagree with the previous reviewer who said the cinematography was horrid, for me the cinematography was one of the best assets of the film. In some scenes you have cinematography and lighting that is quite dark and mysterious, and then in scenes such as the wedding it is evergreen, autumnal and very picturesque. It is not just the cinematography that makes The Godfather look stunning, the costumes are beautifully tailored, the houses are gorgeous and majestic to look at and even the cars were immaculate.

Then there is the score by Nina Rota. One word, outstanding! I have heard many wonderful scores in my lifetime, but after hearing this score few stick in the memory as much as the score for The Godfather. This score is both beautiful as seen with the main theme, and haunting in the way it sticks in your head after watching the film itself. Other outstanding assets are the masterly direction from Francis Ford Coppola, and the brilliantly written screenplay that is intelligent, thought-provoking and darkly humorous. As for the violence, some of it is shocking and intense especially in the climax which was enough to almost make your heart either beat twice as fast or stop, and I almost covered my eyes when the producer found the horse's head in his bed, but underneath that this family is somewhat loyal and honourable come to think of it.

The acting is absolutely fantastic, bringing to life characters that are rich and complex, perhaps unlikeable at first but as you get to know them you warm to them. And I have to say, The Godfather is one of those rarities where no actor gives a weak performance. In particular, Marlon Brando is brilliant as Don Vito, very heavily disguised yet stately. Every word of dialogue, every subtle hand gesture and every facial expression was brilliantly judged. Al Pacino's casting was admittedly risky, but he still did a truly wonderful job carrying the film, while James Caan is dignified and loyal, Diane Keaton beautiful and alluring and Robert Duvall nicely understated.

In conclusion, absolutely amazing, and I can see completely why it is considered one of the 10 greatest movies ever made, it is that good. In fact my 15-year old brother loved it so much, he wants to see it again. 10/10, though this film is too good for that rating. Bethany Cox",0.310196718931475
3. Batman: El caballero de la noche,N/A,Tiempo de ejecución,2008,"Christian Bale, Heath Ledger, Aaron Eckhart",10,11 ene 2021,Best movie ever. Heath ledger's work is phenomenal no words......,0.75
3. Batman: El caballero de la noche,N/A,Tiempo de ejecución,2008,"Christian Bale, Heath Ledger, Aaron Eckhart",10,16 feb 2021,"This movie is a work of art. The finest sequel ever made. I don't think we will see another movie like this for a long time. Heath Ledger's Joker is the best movie charachter I have ever seen by far. Avengers Endgame is great, but The Dark Knight is much better. The best Batman ever! The best Joker ever! The best DC movie ever! The best superhero movie ever! Ando for me, the best movie ever!",0.6545454545454545
3. Batman: El caballero de la noche,N/A,Tiempo de ejecución,2008,"Christian Bale, Heath Ledger, Aaron Eckhart",10,6 oct 2019,"It is just what you want for the best movie. Great story great acting, thrilling twist. Just watched Joker in 2019, I just has to come back and give dark knight a 10. And thanks to Heath Ledger for the exceptional performs.",0.3962962962962963
3. Batman: El caballero de la noche,N/A,Tiempo de ejecución,2008,"Christian Bale, Heath Ledger, Aaron Eckhart",N/A,11 feb 2020,"Confidently directed, dark, brooding, and packed with impressive action sequences and a complex story, The Dark Knight includes a career-defining turn from Heath Ledger as well as other Oscar worthy performances, TDK remains not only the best Batman movie, but comic book movie ever created.",0.2234848484848485
3. Batman: El caballero de la noche,N/A,Tiempo de ejecución,2008,"Christian Bale, Heath Ledger, Aaron Eckhart",10,19 jul 2008,N/A,0.0
3. Batman: El caballero de la noche,N/A,Tiempo de ejecución,2008,"Christian Bale, Heath Ledger, Aaron Eckhart",10,8 jul 2008,"We've been subjected to enormous amounts of hype and marketing for the Dark Knight. We've seen Joker scavenger hunts and one of the largest viral campaigns in advertising history and it culminates with the actual release of the movie.

Everything that's been said is pretty much spot on. This is the first time I can remember where a summer blockbuster film far surpasses the hype.

For as much action as there is in this movie, it's the acting that makes it a great piece of work. Between all the punches, explosions and stunt-work is some great dialog work. All the actors have their moments.

Bale's Batman is the definitive Batman because we see everything in this character finally on film. Martial arts skills, cunning, great tactical thinking, forensic application, technological genius to advance or improve Luscious Fox's inventions/technological breakthroughs, intimidating personality, and even a little swashbuckling.

As for Heath, yes he gets credit for his performance as the Joker. But you have to also recognize Jonathan and Chris Nolan for the writing and treatment of the character. It's not just the fact that Ledger makes the Joker so menacing, but the Nolans have given the character this great manifesto that drives its actions. The Joker's stance on chaos, order, anarchy, the morality of the average modern human being make the character so interesting psychologically. The Nolans drafted a complex character and only a perfect performance could've pulled something like this off. That's how difficult of a role this was, and that's why Ledger's performance is so great.

This isn't an action movie. It's a film that explores literary themes of the hero and villain, as well as order and anarchy. Yes, listen to the dialog because it's all in there.",0.15041666666666667
3. Batman: El caballero de la noche,N/A,Tiempo de ejecución,2008,"Christian Bale, Heath Ledger, Aaron Eckhart",10,19 jul 2008,"I couldn't believe ""The Dark knight"" could live up to the hype. That's perhaps the biggest surprise. The secret, I believe, is a stunning, mature, intelligent script. That makes it the best superhero movie ever made. As if that wasn't enough, Heath Ledger. He, the newest of the tragic modern icons present us with a preview of something we'll never see. A fearless, extraordinary actor capable to fill up with humanity even the most grotesque of villains. His performance is a master class. Fortunately, Christian Bale's Batman is almost a supporting character. Bale is good but there is something around his mouth that stops him from being great. ""The Dark Knight"" is visually stunning, powerful and moving. What else could anyone want.",0.19634986225895315
3. Batman: El caballero de la noche,N/A,Tiempo de ejecución,2008,"Christian Bale, Heath Ledger, Aaron Eckhart",9,23 jul 2008,"Dark, yes, complex, ambitious. Christopher Nolan and his co-writer Jonathan Nolan deserve a standing ovation. I don't usually go for loud movies filled with mindless gore and violence. ""The Dark Knight"" is certainly loud and violent but it's not mindless. It has depth and soul. Even the Joker, in an extraordinary creation by Heath Ledger, is deeply human. The natural petulance of Christian Bale makes his ego and alter ego the most fascinating and complex of all film superheroes. Part of the genius of this movie is that Batman himself, in screen time, is not really the lead. My attention was captivated by Heath Ledger and he determines and inspires the breathtaking atmosphere that envelopes Gotham as well as us. The aplomb of Christopher Nolan as a director is mind blowing and his secret, I believe, is his obvious respect for his audience. What he's done is to elevate a popular genre into Shakesperean proportions. Bravo!",0.07318840579710144
3. Batman: El caballero de la noche,N/A,Tiempo de ejecución,2008,"Christian Bale, Heath Ledger, Aaron Eckhart",10,21 nov 2021,N/A,0.0
3. Batman: El caballero de la noche,N/A,Tiempo de ejecución,2008,"Christian Bale, Heath Ledger, Aaron Eckhart",10,10 ene 2012,"Im just gonna start off by saying I LOVE this movie.Its one of my favorites of all time. I honestly cant think of too much wrong with this movie other than its a little long and Batmans by now infamous voice. But everything else is top notch. The acting,story,atmosphere,and actions scenes are all amazing. If you haven't seen this movie see it right now! I went into this not expecting to much but I came out blown away, I cant imagine any movie being much better. I'll just have to wait for The Dark Knight Rises to release to see if anything can be better. Until then, this stands as the best movie I've ever seen",0.21630952380952378
4. El padrino (parte II),N/A,Tiempo de ejecución,1974,"Al Pacino, Robert De Niro, Robert Duvall",10,9 mar 2001,N/A,0.0
4. El padrino (parte II),N/A,Tiempo de ejecución,1974,"Al Pacino, Robert De Niro, Robert Duvall",10,8 ago 2019,"One of the all time greats. Or probably the alone greatest thing ever made in the history of cinematography. This movie is both ""prequel"" and ""sequel"" of the first godfather movie. I have never watched anything like this in my entire life. This movie has explained the life of underworld people in a great way. It also shows how vengeance eradicates happiness from your life. People don't even care about their family in greed of power. It's a masterpiece that can never be written off even after centuries. Even if you are not into these kind of movies, I will suggest to watch it for atleast once in your life or you'll be deprived of one of the greatest things to watch that have been ever made.",0.6214285714285713
4. El padrino (parte II),N/A,Tiempo de ejecución,1974,"Al Pacino, Robert De Niro, Robert Duvall",10,6 may 1999,"The original Godfather is a brilliant work. It is in a sense a voyeuristic delight, allowing us to see the mafia from the inside - we become part of the family. It single-handedly change the world's view of organized crime, and created a cast of sympathetic characters, none of whom have a shred of common morality. It was the highest grossing movie of its time and Brando created a cultural icon whose influence resonates as strong today as it did in 1972.

As extraordinary an achievement as this is, Part II is even better. It easily receives my nod as the best picture ever made. I have seen it at least 20 times, and each time its 200 minutes fly by.

The movie uses flashbacks to brilliantly weave two tales. The main story is the reign of Michael Corleone as the world's most powerful criminal. Now reaping the benefits of legalized gambling in Las Vegas, Michael is an evident billionaire with an iron fist on a world of treachery.

Behind this, Director Francis Ford Coppola spins the tale of the rise of Michael's father, Vito, to the center of the New York mafia. It is these scenes that make the film a work of art. Without spoiling, I will simply say the Robert DeNiro as the young Vito is the best acting performance of all time, a role for which he won a richly deserved Oscar.

The screenplay is full of delicious little underworld nuggets (""Keep your friends close ....."", ""I don't want to kill everyone, just my enemies""), while it blows a dense, twisted plot past you at a dizzying and merciless pace. The cinematography is depressing and atmospheric. The score continues in the eerie role of its predecessor, foretelling death and evil.

All of this makes the movie great and infinitely watchable. But it's what's deeper inside this film ... what it is really about ... that is its true genius.

The Godfather Part II is not really a movie about the mafia, it is a movie about a man's life long struggle. Michael controls a vast empire that is constantly slipping out of his hands. He grows increasingly distrustful and paranoid, and even shows signs that he hates his own life. Michael almost seems to resent the fact that he is a natural born crime lord, a man who puts the family business ahead of everything.

The great Don Michael Corleone can never come to terms with one simple fact.... his father's empire was built on love and respect, Michael's empire is built on fear and violent treachery.

See this movie. It's three-and-a-half hours very well spent.",0.1493241235888295
4. El padrino (parte II),N/A,Tiempo de ejecución,1974,"Al Pacino, Robert De Niro, Robert Duvall",10,8 may 2001,"This movie is way to be good to be labelled a sequel to The Godfather . Rather it is more of a companion piece to the original and the two perfectly compliment each other . IT is both a sequel and prequel showing the rise of the young vito and moral decline of Micheal . Both characters are brought to life with uncanny ability by Robert DeNiro and Al Pacino . To say that these two are good actors is like saying that a nuclear bomb makes a loud noise and in this movie they prove why they are at the top of their respective crafts .

Al Pacino is the standout in the ensemble cast and its amazing how his eyes have changed from the first part . They are now cold , ruthless and unemotional and betray the price which Micheal Corleone has paid for power .

Watch this movie and learn why it is the greatest gangster film of all time.",0.25625000000000003
4. El padrino (parte II),N/A,Tiempo de ejecución,1974,"Al Pacino, Robert De Niro, Robert Duvall",10,5 oct 2019,"To say that this film is a sequel is a sin. Al Pacino and Robert de Niro win the Oscar for this film, Robert de Niro's performance as Vito Corleone is perfect, every scene in which this one is perfect. Al Pacino as always perfect and unlike the first film, he is much better.

PROS:

EVERYTHING. The script, the direction, the cast, the performance, everything in this film is perfect and its 3 hours are worth it.

CONS:

NOTHING. This movie is perfect.",0.7611111111111111
